,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
15714,2021,40028,9,ESCUELA ESPECIAL NUEVA ESPERANZA, ,65154135,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,980446000000000","-71,25884000000001",0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15715,2021,40029,7,LICEO MISTRALIANO, ,69040600,1,4,COQ,41,4105,PAIGUANO,41,ELQUI,2,1,0,"-30,139000000000000","-70,31500200000001",1,310,610,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15718,2021,40032,7,JARDIN INFANTIL KINDER CASTLE, ,76674210,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
15719,2021,40033,5,COLEGIO DOMINGO FAUSTINO SARMIENTO, ,65163779,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,961691000000000","-71,34047700000001",0,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,$1.000 A $10.000,GRATUITO
15734,2021,40050,5,JARDIN INFANTIL MIS PEQUEÑOS ANGELITOS, ,65165307,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,975379940000000","-71,32496643000000",0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15735,2021,40051,3,ESC.ESP.DE TRAST.ESP DEL LENG.MI PANAL, ,65145285,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,925627000000000","-71,20555600000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
15736,2021,40052,1,ESC. ESP. DE TRANST. ESP DEL LENGUAJE G.MISTR, ,65154225,1,4,COQ,41,4106,VICUÑA,41,ELQUI,3,2,0,"-30,045340000000000","-70,71742999999999",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15738,2021,40055,6,ESC. ESP. TRANS. DEL LENG. CORDILLERA SINDEMP, ,65154145,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,979550000000000","-71,33862999999999",0,214,0,0,0,0,0,0,0,0,0,0,1,1,7,NO HAY CREDO,GRATUITO,GRATUITO
15740,2021,40057,2,JARDIN INFANTIL ARCOIRIS, ,76184657,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,4,3,0,"-29,988585000000000","-71,33779000000000",0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,SIN INFORMACION,SIN INFORMACION
15741,2021,40058,0,JARDIN INFANTIL Y ESCUELA ESPECIAL DE LENGUAJE  MY LITTLE ANGEL, ,65154558,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,916498000000000","-71,24755999999999",0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
15742,2021,40059,9,JARDIN INFANTIL INDIGO, ,65166793,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,948478700000000","-71,24225616000000",0,10,0,0,0,0,0,0,0,0,0,0,1,1,7,LIBERTAD DE RELIGIÓN,GRATUITO,GRATUITO
15743,2021,40060,2,JARDIN INFANTIL MI REINO DE COLORES, ,76179585,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2, ,GRATUITO,GRATUITO
15744,2021,40061,0,ESC.ESP.TRANS.ESPEC.DEL LENGUAJE LLAKOLEN, ,65157986,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,"-30,608412000000000","-71,19638000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15747,2021,40064,5,COLEGIO ALTA CORDILLERA, ,65154148,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,970329000000000","-71,31033300000000",1,10,110,310,363,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15755,2021,40074,2,ESC.ESP.DE TRAST. ESPEC.DEL LENG.JARDIN DE SU, ,65149658,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,926298000000000","-71,20490900000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO
15756,2021,40075,0,ESCUELA ESPECIAL TERRA MATER, ,77993580,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,"-30,6037248","-71,1971822",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1, ,GRATUITO,GRATUITO
15757,2021,40076,9,COLEGIO ADULTOS LAS VIOLETAS, ,65158001,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,979357000000000","-71,31021000000000",1,165,363,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15796,2021,40126,9,COLEGIO RAUL SILVA HENRIQUEZ, ,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,0,"-30,589520000000000","-71,18486799999999",1,310,510,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15806,2021,40139,0,COLEGIO PIEDRA NEGRA, ,76197468,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,97052908","-71,30165606",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1, ,GRATUITO,$10.001 A $25.000
15807,2021,40140,4,ESC. ESP. DE LENGUAJE LOS GIRASOLES LTDA., ,65153859,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,876061000000000","-71,23542700000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
15808,2021,40141,2,ESCUELA ESPECIAL DE LENGUAJE SANTA ANA, ,65157864,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,902660000000000","-71,25193000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
15809,2021,40142,0,ESC. ESP. DE LENGUAJE MI CASTILLO, ,65152527,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,867901000000000","-71,24475500000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15810,2021,40143,9,ESCUELA ESPECIAL DE LENGUAJE CUMBRE DE PALABRAS, ,65154529,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,979580000000000","-71,30059000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15811,2021,40144,7,JARDIN INFANTIL CURIE, ,65151334,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,886869430000000","-71,24158478000000",0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15818,2021,40153,6,JARDIN INFANTIL ESTRELLITA DE BELEN, ,65158165,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,984525680000000","-71,33649445000000",0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15837,2021,40174,9,COLEGIO EDUCACION ESPECIAL CUMBRES, ,65154582,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,887625000000000","-71,24265000000000",0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15847,2021,40186,2,COLEGIO DE ADULTOS GALILEO, ,65125456,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,"-30,598452000000000","-71,18413000000000",1,363,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15849,2021,40189,7,COLEGIO CABO ALTO, ,65155101,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,956480000000000","-71,34319300000000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15854,2021,40194,3,COLEGIO DOMINGO SANTA MARIA, ,65145476,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,902950000000000","-71,24270600000000",0,10,110,214,310,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15855,2021,40195,1,ESC. ESP. DE LENG. SAN JOSE DE MONT, ,65156163,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,3,2,0,"-30,748955000000000","-70,61750000000001",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15858,2021,40199,4,COLEGIO SENDA,17014277, ,0,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1, ,GRATUITO,GRATUITO
15859,2021,40200,1,JARDIN INFANTIL EL MUNDO DE LOS ANGELITOS,7822149, ,0,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
15864,2021,40206,0,CENT.DE EDUC.INTEG.DE ADULT.PUELMAPU, ,65156345,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,919786000000000","-71,24092000000000",1,363,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15865,2021,40207,9,ESCUELA ESPECIAL PAX TERRA, ,65154155,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,1,"-29,964972000000000","-71,24898300000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
